RefID,Author(s),Experiment Number,CONTROL,Pollutant Class,Pollutant,Response type,Coral age class,Current genus name,Current species name,Colony form,Other forms/morphologies,Coral surface direction,Ocean,Ecoregion number,Study location,Study site,Study type,Flow characteristics,Light characteristics,Other sample characteristics,Stressor description,Application level,Application level Unit of measurement (UoM),level converted to ug/L,exposure duration in days,recovery duration in days,exposure frequency,exposure notes,Response type,Standardized response level,Standardized SE,Standardized SD,Standardized UoM,Response level,Response UoM,Average type,N for computing average,N UoM,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate (= response level - lower error bound),Upper error estimate (= upper error bound - response level),Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,Data extractor initials,Date of completion,Additional notes on study,QAQC notes
"2,4-D-01",Glynn et al. 1984,1,1,Pesticide,"2,4-D",binary only,adult,Pocillopora,damicornis,branching,,NA,Pacific,113,Hawaii Institute of Marine Biology,laboratory,manipulative,"none, aerated",NR,,"2,4,D",0,ppm,0,1.000,0,twice,renewed after 12 hr,,,,,,,,,,,,,,,,,,,,,ALB,7/30/20,"data is from table decribing health, more data available on formulation they testted that contains 2,4,D and another herbicide",
"2,4-D-01",Glynn et al. 1984,1,0,Pesticide,"2,4-D",binary only,adult,Pocillopora,damicornis,branching,,NA,Pacific,113,Hawaii Institute of Marine Biology,laboratory,manipulative,"none, aerated",NR,,"2,4,D",0.05,ppm,50,1.000,0,twice,renewed after 12 hr,,,,,,,,,,,,,,,,,,,,,ALB,7/30/20,"data is from table decribing health, more data available on formulation they testted that contains 2,4,D and another herbicide",
"2,4-D-01",Glynn et al. 1984,1,0,Pesticide,"2,4-D",binary only,adult,Pocillopora,damicornis,branching,,NA,Pacific,113,Hawaii Institute of Marine Biology,laboratory,manipulative,"none, aerated",NR,,"2,4,D",0.1,ppm,100,1.000,0,twice,renewed after 12 hr,,,,,,,,,,,,,,,,,,,,,ALB,7/30/20,"data is from table decribing health, more data available on formulation they testted that contains 2,4,D and another herbicide",
"2,4-D-01",Glynn et al. 1984,1,0,Pesticide,"2,4-D",binary only,adult,Pocillopora,damicornis,branching,,NA,Pacific,113,Hawaii Institute of Marine Biology,laboratory,manipulative,"none, aerated",NR,,"2,4,D",1,ppm,1000,1.000,0,twice,renewed after 12 hr,,,,,,,,,,,,,,,,,,,,,ALB,7/30/20,"data is from table decribing health, more data available on formulation they testted that contains 2,4,D and another herbicide",
"2,4-D-01",Glynn et al. 1984,2,1,Pesticide,"2,4-D",binary only,adult,Pocillopora,damicornis,branching,,NA,Pacific,113,Hawaii Institute of Marine Biology,laboratory,manipulative,"none, aerated",NR,,"2,4,D",0,ppm,0,2.000,0,twice,renewed after 12 hr,,,,,,,,,,,,,,,,,,,,,ALB,7/30/20,"data is from table decribing health, more data available on formulation they testted that contains 2,4,D and another herbicide",
"2,4-D-01",Glynn et al. 1984,2,0,Pesticide,"2,4-D",binary only,adult,Pocillopora,damicornis,branching,,NA,Pacific,113,Hawaii Institute of Marine Biology,laboratory,manipulative,"none, aerated",NR,,"2,4,D",0.05,ppm,50,2.000,0,twice,renewed after 12 hr,,,,,,,,,,,,,,,,,,,,,ALB,7/30/20,"data is from table decribing health, more data available on formulation they testted that contains 2,4,D and another herbicide",
"2,4-D-01",Glynn et al. 1984,2,0,Pesticide,"2,4-D",binary only,adult,Pocillopora,damicornis,branching,,NA,Pacific,113,Hawaii Institute of Marine Biology,laboratory,manipulative,"none, aerated",NR,,"2,4,D",0.1,ppm,100,2.000,0,twice,renewed after 12 hr,,,,,,,,,,,,,,,,,,,,,ALB,7/30/20,"data is from table decribing health, more data available on formulation they testted that contains 2,4,D and another herbicide",
"2,4-D-01",Glynn et al. 1984,2,0,Pesticide,"2,4-D",binary only,adult,Pocillopora,damicornis,branching,,NA,Pacific,113,Hawaii Institute of Marine Biology,laboratory,manipulative,"none, aerated",NR,,"2,4,D",1,ppm,1000,2.000,0,twice,renewed after 12 hr,,,,,,,,,,,,,,,,,,,,,ALB,7/30/20,"data is from table decribing health, more data available on formulation they testted that contains 2,4,D and another herbicide",
"2,4-D-02",Sabdono et al. 1998,1,1,Pesticide,"2,4-D",binary only,adult,Porites,sp,encrusting,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",0,ppm,0,2.000,0,constant,,,,,,,,,,,,,,,,,,,,,,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,1,0,Pesticide,"2,4-D",binary only,adult,Porites,sp,encrusting,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,NR,"2,4-D",0.1,ppm,100,2.000,0,constant,,,,,,,,,,,,,,,,,,,,,,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,1,0,Pesticide,"2,4-D",binary only,adult,Porites,sp,encrusting,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,NR,"2,4-D",1,ppm,1000,2.000,0,constant,,,,,,,,,,,,,,,,,,,,,,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,1,0,Pesticide,"2,4-D",binary only,adult,Porites,sp,encrusting,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,NR,"2,4-D",10,ppm,10000,2.000,0,constant,,,,,,,,,,,,,,,,,,,,,,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,1,0,Pesticide,"2,4-D",binary only,adult,Porites,sp,encrusting,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,NR,"2,4-D",100,ppm,100000,2.000,0,constant,,,,,,,,,,,,,,,,,,,,,,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,1,0,Pesticide,"2,4-D",binary only,adult,Porites,sp,encrusting,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,NR,"2,4-D",1000,ppm,1000000,2.000,0,constant,,,,,,,,,,,,,,,,,,,,,,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
"2,4-D-02",Sabdono et al. 1998,2,1,Pesticide,"2,4-D",colony survival,adult,Galaxea,sp,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,"2,4-D",0,ppm,0,0.010,0,constant,,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,ALB,8/6/20,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well",
